index,MT_labels,clean_tweet,final_label,raw_tweet
0,"[1, 1, 1]",getting ready big fat blunt,1,Getting ready for a big fat blunt
1,"[1, 1, 1]",just want purchase weed all,1,I just want to purchase some weed. That's all.
2,"[1, 1, 0]",sirslaysalot picture dope af,1,@sirSLAYSalot this picture is dope af!
3,"[0, 0, 0]",looks dope wtf URL,0,This looks so dope wtf https://t.co/e5ahLoyBji
4,"[0, 0, 0]",dope car URL,0,Dope car https://t.co/7WNCnY6Ukv
5,"[1, 1, 1]",just burped up blunt,1,I just burped up blunt
6,"[1, 1, 1]",wedding passing fat blunt,1,At my wedding we passing a fat blunt
7,"[1, 0, 1]",smoking dope ride slow,1,smoking dope ride slow
8,"[1, 1, 1]",wanna drop acid rn scared gonna go crazy in room,1,I wanna drop acid rn but I'm scared I'm gonna go crazy in my room
9,"[1, 0, 0]",sled riding dope,0,Sled riding is so dope
10,"[1, 1, 1]",really want blunt rn,1,I really want a blunt rn.
11,"[1, 1, 1]",bouta smoke blunt n gts,1,",bouta smoke a blunt n gts"
12,"[1, 1, 1]",let smoke dope,1,Let her smoke my dope
13,"[1, 1, 0]",re smoking dope URL,1,You're smoking dope https://t.co/ZmJEOcd90l
14,"[1, 1, 1]",damariojay smoking dope in freeport better,1,@DamarioJay you smoking dope. what in Freeport is better
15,"[0, 0, 0]",moon looks dope,0,The moon looks so dope
16,"[0, 0, 1]",just seen too dope movie URL,0,"just seen it too, dope movie https://t.co/dS3gfYXZ0l"
17,"[1, 0, 1]",bong appetit on viceland boring af get ya love weed chill probably like coffee more most weedheads love weed,1,"Bong Appetit on Viceland is boring AF. i get it ya love weed. that's chill, i probably like coffee more than most weedheads love weed..."
18,"[1, 0, 1]",oh guess still love weed,1,oh.. and guess what.. i still love weed
19,"[1, 1, 1]",luxuryannick kratom makes weed better,1,@LuxuryAnnick kratom makes weed better
20,"[0, 0, 0]",dope pics trip URL,0,Some dope pics from the trip   https://t.co/gD5OrBDTd0
21,"[1, 0, 1]",want smoke fucking blunt,1,I want to smoke a fucking blunt
22,"[1, 1, 1]",just gonna eat weed,1,""".... I'm just gonna eat this weed."""
23,"[1, 1, 1]",want smoke d c weed,1,i want to smoke d.c. weed
24,"[0, 0, 1]",last night dope djmike garcia,0,Last night was dope @djmike_garcia
25,"[0, 0, 0]",dope work URL,0,Sooooo dope. Is this your work? https://t.co/f0izgdV9Wb
26,"[1, 1, 1]",mtaibbi heroin still on table hope,1,@mtaibbi heroin is still on the table I hope.
27,"[0, 0, 0]",sitting on toilet lid down smoking black mild in roach motel realized few things,0,So I was sitting on a toilet (with the lid down...) smoking a black and mild in a roach motel and realized a few things.
28,"[0, 0, 0]",dope now fiend,0,"he's so dope, now I'm a fiend"
29,"[1, 1, 0]",pumped on black beans ll cooking in crockpot over night,1,pumped on these black beans that'll be cooking in my crockpot over night
30,"[1, 1, 0]",lance schuyler stop smokin dope,1,@Lance_Schuyler stop smokin dope
31,"[1, 1, 1]",tempted go smoke blunt,1,So tempted to go smoke a blunt
32,"[1, 1, 1]",finna roll up blunt,1,Finna roll me up a blunt
33,"[1, 1, 1]",love smoke weed,1,I love to smoke weed
34,"[1, 0, 1]",trying hardest not sell weed,1,Trying my hardest not to sell weed
35,"[1, 1, 0]",simply aeron just smoked blunt gf,1,@simply_Aeron i just smoked a blunt with your gf
36,"[0, 0, 0]",jean jacket w patches smokin cig fire red nails driving past in black chevy windows down playing sweet home alabama,0,"me, my jean jacket w/ patches smokin a cig. fire red nails. driving past you in my black Chevy windows down playing sweet home Alabama"
37,"[1, 1, 0]",rl away weed,1,they rl have away weed
38,"[1, 1, 1]",bouta roll blunt love,1,Bouta roll a blunt and love myself
39,"[1, 1, 1]",ajctown stop babysitting blunt,1,@AJCtown stop babysitting the blunt
40,"[1, 0, 1]",narcos fucken dope shit,1,"narcos is fucken dope, that's my shit !!"
41,"[0, 1, 1]",dope passing URL,1,Dope but I'm passing https://t.co/yqAQM6CjLR
42,"[0, 1, 1]",thewhiteninja99 dope let go,1,@TheWhiteNinja99 dope let's go
43,"[1, 0, 1]",hard techno acid house,1,hard techno acid house
44,"[1, 1, 1]",love smoking weed 33,1,"I looove smoking weed..""33"
45,"[1, 1, 1]",miss weed shop,1,I Miss The Weed Shop.
46,"[1, 1, 0]",juanvaldes may just start smoking more pot,1,@juanvaldes_ may just start smoking more pot
47,"[1, 1, 1]",love marijuana,1,I love marijuana..
48,"[1, 1, 1]",bouta roll fat blunt,1,Bouta roll this fat blunt
49,"[1, 0, 1]",dope in swisher loud,1,That dope in a swisher so loud .
50,"[0, 1, 1]",lord knows deserve die on acid high,1,Lord knows I deserve to die on an acid high
51,"[0, 0, 0]",really proud sister dope af,0,Really proud of my sister. She's dope af.
52,"[1, 1, 1]",play clue smoke weed wifey,1,About to play Clue and smoke weed with wifey..
53,"[1, 0, 1]",sydnaye tried guess need more blunt,1,@sydnayeee I tried to but I guess I need to be more blunt
54,"[1, 1, 1]",wonder next acid trips gonna like,1,I wonder what our next acid trips gonna be like
55,"[1, 1, 1]",fell asleep lastnight w lit blunt in hand pretty sure how ima go,1,fell asleep lastnight w/ a lit blunt in my hand. im pretty sure that's how ima go
56,"[1, 1, 1]",hit blunt,1,So who about to hit this blunt with me.
57,"[1, 1, 1]",how stop feeling need blunt,1,How do I stop this feeling .. I need a blunt
58,"[1, 1, 0]",just tryna smoke weed,1,I'm just tryna smoke some weed
59,"[1, 1, 1]",in love dope smoke,1,I'm in love with the dope smoke ..
60,"[1, 1, 1]",bobankhead12 take oxy ll fine,1,@bobankhead12 take some oxy you'll be fine
61,"[1, 1, 1]",can succeed smoke weed,1,You can succeed and smoke weed
62,"[1, 1, 0]",now smoking blunt,1,Now smoking a blunt
63,"[0, 0, 0]",got pack let smack,0,If he got the pack let him smack
64,"[1, 1, 1]",in soho bring dope smoke,1,we in soho bring the dope smoke
65,"[1, 0, 1]",just want sum weed,1,i just want sum weed..
66,"[0, 0, 1]",just woke up weed nap swear morning keep trying get ready work,0,Just woke up from a weed nap and I swear it's the morning I keep trying to get ready for work
67,"[1, 1, 1]",becca dead ass just said taking uber buy weed,1,becca dead ass just said she's taking an uber to buy weed
68,"[1, 1, 1]",love pot URL,1,Love that pot https://t.co/dfu8KPE75z
69,"[1, 1, 1]",rolled fatass blunt,1,Rolled this fatass as blunt
70,"[1, 1, 1]",finna smoke blunt meditate,1,"I'm finna smoke a blunt "" meditate"
71,"[1, 1, 1]",shitty day think just gonna go smoke blunt,1,"what a shitty day, I think I'm just gonna go smoke a blunt"
72,"[0, 1, 1]",just need smoke blunt,1,I just need to smoke a blunt.
73,"[1, 0, 1]",spencer easton just announced class smoked oregano dope,1,Spencer Easton just announced to the class that he smoked oregano. Dope
74,"[0, 1, 0]",glowwmomma super dope hope enjoy,0,@Glowwmomma super dope. I hope you enjoy yourself!
75,"[0, 0, 0]",love love dope,0,I love love. It's so dope.
76,"[0, 0, 0]",extremely dope though URL,0,He was extremely dope though https://t.co/nMuXeQt4Dl
77,"[0, 0, 0]",rain drops drop tops just started cooking crockpot pot,0,Rain drops  Drop tops I just started cooking with my crockpot pot.
78,"[0, 0, 1]",re pretty fucken dope,0,you're pretty fucken dope.
79,"[0, 0, 1]",late dope man,0,Is to late to be the Dope man
80,"[1, 1, 1]",love weed lol,1,I love weed lol
81,"[0, 0, 1]",brother d cool smoked weed,0,"My brother @ me: ""you'd be cool if you smoked weed"""
82,"[1, 1, 1]",joshtpiy egall614 love weed,1,@JoshTPIY @Egall614 I love weed
83,"[1, 1, 1]",really wanna smoke blunt,1,do I really wanna smoke a blunt?
84,"[1, 1, 1]",love rolling blunt,1,I love rolling blunt
85,"[1, 1, 1]",in seattle makes want quit weed,1,Being in Seattle makes me want to quit weed...
86,"[0, 1, 1]",just want cranberry juice blunt,1,I just want cranberry juice and a blunt
87,"[1, 1, 1]",love weed,1,I LOVE WEED!!!
88,"[0, 0, 0]",year dope ready graduate start life,0,"This year is about to be so dope, I'm so ready to graduate and start my life!!! "
89,"[0, 1, 1]",first stop legal weed,1,first stop: legal weed
90,"[0, 0, 0]",love dope music,0,I love dope music
91,"[1, 1, 1]",n1 more blunt,1,n1 more blunt
92,"[1, 1, 1]",ready smoke blunt baby,1,Ready to smoke a blunt with my baby
93,"[1, 1, 1]",just chill kickback w coffee blunt,1,"Just chill, kickback, w/ coffee "" a blunt"
94,"[0, 0, 0]",hadley just woke up nap smacked in face laid back down fell back asleep,0,"Hadley just woke up from her nap, smacked me in the face, then laid back down and fell back asleep  "
95,"[1, 1, 1]",love pot,1,I love pot
96,"[1, 0, 0]",eriruggiero heroin pretty popular days,0,@EriRuggiero heroin is pretty popular these days
97,"[0, 0, 0]",errickanicholle looks dope too,0,@ErrickaNicholle it looks dope too
